State_Name,recent_avg_oilseed_prod_1000_tons,earlier_avg_oilseed_prod_1000_tons,growth_rate_percent
Haryana,131.7085714285714,59.29726443768997,122.1157631427868
Jharkhand,2.933,1.5420740740740746,90.19838601210483
"Andhra Pradesh",212.61672727272722,126.10090909090904,68.60840164082158
Rajasthan,129.78661538461543,86.62405891980366,49.82744632732064
"Madhya Pradesh",107.34697297297296,76.96756756756754,39.47039820212097
Gujarat,167.3603333333334,131.50304964539006,27.26726397953184
"West Bengal",22.64533333333333,19.57821173104434,15.66599464968286
Orissa,46.75,41.59577741407533,12.39121590303675
Maharashtra,76.9823015873016,70.26852700490994,9.554454701921596
Bihar,5.138,4.716305609284328,8.941201560084261
Telangana,46.23044444444443,47.512884160756485,-2.699140957162295
Chhattisgarh,16.308,18.22815602836882,-10.534011368897897
Assam,11.999000000000002,13.607404255319139,-11.82006667208708
Uttarakhand,0.69025,1.0042819148936164,-31.269299012208318
"Tamil Nadu",47.95850000000002,92.90340425531902,-48.378102627757855
"Himachal Pradesh",0.24879999999999997,0.6274042553191483,-60.34454693434614
Karnataka,21.272631578947365,56.63845464725639,-62.44136300781323
"Uttar Pradesh",3.6016086956521725,11.022946345975956,-67.3262612135731
Punjab,3.3163636363636373,14.735048355899428,-77.49336441752581
Kerala,0,3.0660300429184546,-100
